,Estimated number of clusters,Parameters,Silhouette Coefficient
143,55,"{'eps': 0.8, 'min_samples': 4}",0.15404613554536714
144,35,"{'eps': 0.8, 'min_samples': 5}",0.04450488557665618
145,30,"{'eps': 0.8, 'min_samples': 6}",0.01790180481522008
146,20,"{'eps': 0.8, 'min_samples': 7}",-0.044503681996464435
147,20,"{'eps': 0.8, 'min_samples': 8}",-0.044503681996464435
148,15,"{'eps': 0.8, 'min_samples': 9}",-0.0940010469978053
149,15,"{'eps': 0.8, 'min_samples': 10}",-0.0940010469978053
150,10,"{'eps': 0.8, 'min_samples': 11}",-0.09900107927511316
151,10,"{'eps': 0.8, 'min_samples': 12}",-0.09900107927511316
152,5,"{'eps': 0.8, 'min_samples': 13}",-0.0923013435584239
153,5,"{'eps': 0.8, 'min_samples': 14}",-0.0923013435584239
154,5,"{'eps': 0.8, 'min_samples': 15}",-0.0923013435584239
155,5,"{'eps': 0.8, 'min_samples': 16}",-0.0923013435584239
156,5,"{'eps': 0.8, 'min_samples': 17}",-0.0923013435584239
157,5,"{'eps': 0.8, 'min_samples': 18}",-0.0923013435584239
158,5,"{'eps': 0.8, 'min_samples': 19}",-0.10326561433440459
159,5,"{'eps': 0.8, 'min_samples': 20}",-0.10326561433440459
160,210,"{'eps': 0.9, 'min_samples': 1}",0.48803191015244746
161,140,"{'eps': 0.9, 'min_samples': 2}",0.45511022975330473
162,85,"{'eps': 0.9, 'min_samples': 3}",0.29182665529244534
163,70,"{'eps': 0.9, 'min_samples': 4}",0.22834159923741917
164,45,"{'eps': 0.9, 'min_samples': 5}",0.10137983084540546
165,35,"{'eps': 0.9, 'min_samples': 6}",0.0657233579298806
166,20,"{'eps': 0.9, 'min_samples': 7}",-0.022814005946120555
167,20,"{'eps': 0.9, 'min_samples': 8}",-0.022814005946120555
168,15,"{'eps': 0.9, 'min_samples': 9}",-0.07684884956450898
169,15,"{'eps': 0.9, 'min_samples': 10}",-0.07953363781217547
170,15,"{'eps': 0.9, 'min_samples': 11}",-0.07953363781217547
171,10,"{'eps': 0.9, 'min_samples': 12}",-0.0884144968080948
172,5,"{'eps': 0.9, 'min_samples': 13}",-0.07358648819978274
173,5,"{'eps': 0.9, 'min_samples': 14}",-0.07358648819978274
174,5,"{'eps': 0.9, 'min_samples': 15}",-0.07358648819978274
175,5,"{'eps': 0.9, 'min_samples': 16}",-0.07358648819978274
176,5,"{'eps': 0.9, 'min_samples': 17}",-0.07358648819978274
177,5,"{'eps': 0.9, 'min_samples': 18}",-0.07358648819978274
