,Method,Model,Min. cluster size,Max. cluster size,Clusters,Silhouette Coefficient
85,Hierarchical - ward,"{'n_clusters': 26, 'linkage': 'ward'}",4,40,26,0.7548481103371588
86,Hierarchical - complete,"{'n_clusters': 26, 'linkage': 'complete'}",2,40,26,0.7391726525163731
87,Hierarchical - average,"{'n_clusters': 26, 'linkage': 'average'}",2,40,26,0.7480466153081382
88,Hierarchical - single,"{'n_clusters': 26, 'linkage': 'single'}",2,40,26,0.7382107441136946
89,Hierarchical - ward,"{'n_clusters': 27, 'linkage': 'ward'}",4,40,27,0.7686294077577924
90,Hierarchical - complete,"{'n_clusters': 27, 'linkage': 'complete'}",2,40,27,0.755964370945682
91,Hierarchical - average,"{'n_clusters': 27, 'linkage': 'average'}",2,40,27,0.7634832178695822
92,Hierarchical - single,"{'n_clusters': 27, 'linkage': 'single'}",2,40,27,0.7618444507113401
93,Hierarchical - ward,"{'n_clusters': 28, 'linkage': 'ward'}",4,40,28,0.7846023903785864
94,Hierarchical - complete,"{'n_clusters': 28, 'linkage': 'complete'}",2,40,28,0.7688594957166455
95,Hierarchical - average,"{'n_clusters': 28, 'linkage': 'average'}",2,40,28,0.7763783426405456
96,Hierarchical - single,"{'n_clusters': 28, 'linkage': 'single'}",2,40,28,0.7778174333321338
97,Hierarchical - ward,"{'n_clusters': 29, 'linkage': 'ward'}",2,40,29,0.7983274070217544
98,Hierarchical - complete,"{'n_clusters': 29, 'linkage': 'complete'}",2,40,29,0.7845566168384475
99,Hierarchical - average,"{'n_clusters': 29, 'linkage': 'average'}",2,40,29,0.7861343613492351
100,Hierarchical - single,"{'n_clusters': 29, 'linkage': 'single'}",2,40,29,0.7923513252613396
101,Hierarchical - ward,"{'n_clusters': 30, 'linkage': 'ward'}",2,40,30,0.8076824597291054
102,Hierarchical - complete,"{'n_clusters': 30, 'linkage': 'complete'}",1,40,30,0.7852951888643004
103,Hierarchical - average,"{'n_clusters': 30, 'linkage': 'average'}",2,40,30,0.8021073439700288
104,Hierarchical - single,"{'n_clusters': 30, 'linkage': 'single'}",1,40,30,0.7915121527764049
105,DBSCAN,{'eps': 0.1},5,183,12,0.1062118601458152
106,DBSCAN,{'eps': 0.2},5,134,18,0.28803355614896564
107,DBSCAN,{'eps': 0.3},5,112,17,0.4257004957501208
108,DBSCAN,{'eps': 0.4},5,107,17,0.46113772891298405
109,DBSCAN,{'eps': 0.5},5,96,18,0.5138169070182574
