
FALSE,categorical,DRIL-1-PUT-UP,Grąžto bloko (1) atjungimas,
FALSE,categorical,DRIL-2-PUT-UP,Grąžto bloko (2) atjungimas,
FALSE,categorical,DRIL-1-SET-UP,Grąžto bloko (1) pajungimas,
FALSE,categorical,DRIL-2-SET-UP,Grąžto bloko (2) pajungimas,
FALSE,categorical,LIFT-1-SPEED,Pakėlimo lifto (1) greitis,
FALSE,categorical,LIFT-1-TACT,Pakėlimo lifto (1) taktas,
FALSE,categorical,EDGE-H-SPPED,Horizontalaus kraštų briaunavimo staklių greitis,
FALSE,categorical,EDGE-H-TACT,Horizontalaus kraštų briaunavimo staklių taktas,
FALSE,categorical,ROTATION-1-IN-SPEED,Pasukimo stalo (1) įėjimo greitis,
FALSE,categorical,ROTATION-1-OUT-SPEED,Pasukimo stalo (1) išėjimo greitis,
FALSE,categorical,EDGE-V-SPPED,Vertikalaus kraštų briaunavimo staklių greitis,
FALSE,categorical,EDGE-V-TACT,Vertikalaus kraštų briaunavimo staklių taktas,
FALSE,categorical,FIST,Prispaudimo kumščių skaičius,
FALSE,categorical,ROTATION-2-IN-SPEED,Pasukimo stalo (2) įėjimo greitis,
FALSE,categorical,ROTATION-2-OUT-SPEED,Pasukimo stalo (2) išėjimo greitis,
