,Time,RPM,MPH,Throttle,Load,Fuel Status
0,12:19:24.308302,2011,27.9676817899,19.2156862745,16.0784313725,400
1,12:19:24.642589,2025,27.9676817899,19.2156862745,16.862745097999998,200
2,12:19:24.995983,2030,27.9676817899,19.2156862745,16.862745097999998,200
3,12:19:25.332763,2039,28.589185829699996,19.2156862745,14.9019607843,200
4,12:19:25.672319,2050,28.589185829699996,18.0392156863,11.7647058824,400
5,12:19:26.45358,2033,27.9676817899,18.0392156863,12.5490196078,400
6,12:19:26.396169,2024,27.9676817899,18.0392156863,16.4705882353,400
7,12:19:26.741919,2014,27.9676817899,19.2156862745,18.0392156863,400
8,12:19:27.111457,2014,27.9676817899,18.0392156863,12.9411764706,400
9,12:19:27.522085,1412,28.589185829699996,17.6470588235,31.764705882399998,400
10,12:19:27.877984,1524,28.589185829699996,20.0,25.098039215700002,400
11,12:19:28.212430,1536,28.589185829699996,20.7843137255,16.4705882353,400
12,12:19:28.571656,1505,28.589185829699996,18.0392156863,10.1960784314,400
13,12:19:28.902638,1596,28.589185829699996,16.862745097999998,10.9803921569,400
14,12:19:29.243191,1592,28.589185829699996,16.862745097999998,11.7647058824,400
15,12:19:29.615488,1596,29.210689869499998,16.862745097999998,12.5490196078,400
16,12:19:29.943546,1604,29.210689869499998,16.862745097999998,12.9411764706,200
17,12:19:30.313016,1598,29.210689869499998,16.862745097999998,13.333333333299999,200
18,12:19:30.644999,1613,29.210689869499998,17.254901960799998,13.725490196099999,200
19,12:19:31.13210,1605,29.210689869499998,17.254901960799998,13.725490196099999,200
20,12:19:31.392548,1608,29.210689869499998,17.254901960799998,13.333333333299999,200
21,12:19:31.723312,1605,29.210689869499998,17.254901960799998,13.333333333299999,200
22,12:19:32.52621,1606,29.210689869499998,17.254901960799998,12.9411764706,200
23,12:19:32.393535,1633,29.210689869499998,17.254901960799998,12.9411764706,200
24,12:19:32.742841,1630,29.210689869499998,17.254901960799998,12.9411764706,200
25,12:19:33.92450,1626,29.8321939093,17.254901960799998,12.9411764706,200
26,12:19:33.443028,1635,29.210689869499998,17.254901960799998,13.333333333299999,200
27,12:19:33.792623,1633,29.210689869499998,17.254901960799998,13.333333333299999,200
28,12:19:34.142053,1628,29.8321939093,17.254901960799998,12.9411764706,200
29,12:19:34.491498,1629,29.210689869499998,17.254901960799998,13.333333333299999,200
30,12:19:34.843501,1626,29.210689869499998,17.6470588235,13.725490196099999,200
31,12:19:35.191570,1629,29.210689869499998,17.6470588235,14.9019607843,200
32,12:19:35.542375,1638,29.210689869499998,18.0392156863,15.2941176471,200
33,12:19:35.893253,1642,29.8321939093,18.431372549000002,16.4705882353,200
34,12:19:36.241698,1644,29.8321939093,18.431372549000002,16.0784313725,200
35,12:19:36.593361,1651,29.8321939093,18.8235294118,16.0784313725,200
36,12:19:36.941768,1665,29.8321939093,18.8235294118,19.6078431373,200
37,12:19:37.303549,1680,29.8321939093,19.2156862745,18.431372549000002,200
38,12:19:37.641842,1676,30.453697949000002,19.6078431373,18.8235294118,200
39,12:19:37.992520,1698,30.453697949000002,19.6078431373,18.431372549000002,200
40,12:19:38.343289,1696,31.0752019888,19.6078431373,18.431372549000002,200
41,12:19:38.722599,1701,31.0752019888,19.6078431373,18.8235294118,200
42,12:19:39.54754,1720,31.0752019888,19.2156862745,18.431372549000002,200
43,12:19:39.392773,1734,31.0752019888,19.2156862745,18.0392156863,200
44,12:19:39.743594,1740,31.6967060286,19.2156862745,18.0392156863,200
45,12:19:40.92855,1740,31.6967060286,19.2156862745,16.862745097999998,200
46,12:19:40.443901,1745,31.6967060286,18.8235294118,17.254901960799998,200
47,12:19:40.792053,1766,31.6967060286,18.8235294118,16.862745097999998,200
48,12:19:41.144314,1765,31.6967060286,18.431372549000002,16.0784313725,200
49,12:19:41.503217,1774,32.3182100684,18.431372549000002,16.0784313725,200
50,12:19:41.841292,1780,32.3182100684,18.431372549000002,15.6862745098,200
51,12:19:42.193303,1785,32.3182100684,18.431372549000002,15.2941176471,200
52,12:19:42.541473,1791,32.3182100684,18.431372549000002,15.2941176471,200
53,12:19:42.892285,1790,32.3182100684,18.0392156863,14.509803921600001,200
54,12:19:43.242808,1799,32.3182100684,18.0392156863,14.509803921600001,200
55,12:19:43.599092,1795,32.3182100684,18.0392156863,14.117647058800001,200
56,12:19:43.948298,1791,32.3182100684,18.0392156863,12.1568627451,200
57,12:19:44.275134,1788,32.3182100684,17.6470588235,12.5490196078,200
58,12:19:44.631835,1783,32.3182100684,17.6470588235,12.9411764706,200
59,12:19:44.961530,1756,32.3182100684,17.6470588235,13.333333333299999,200
60,12:19:45.343417,1747,31.6967060286,17.6470588235,13.333333333299999,200
61,12:19:45.691587,1741,31.6967060286,17.6470588235,13.333333333299999,200
62,12:19:46.42271,1730,31.0752019888,17.6470588235,13.333333333299999,200
63,12:19:46.393084,1716,31.0752019888,17.6470588235,13.333333333299999,200
64,12:19:46.742583,1718,31.0752019888,17.6470588235,13.333333333299999,200
65,12:19:47.91970,1689,30.453697949000002,17.6470588235,13.333333333299999,200
66,12:19:47.442888,1655,29.8321939093,17.6470588235,13.333333333299999,200
67,12:19:47.815784,1648,29.8321939093,17.6470588235,13.333333333299999,200
68,12:19:48.165318,1624,29.210689869499998,17.6470588235,13.333333333299999,200
69,12:19:48.493364,1612,28.589185829699996,17.6470588235,13.333333333299999,200
70,12:19:48.852910,1601,29.210689869499998,17.254901960799998,12.9411764706,200
71,12:19:49.198688,1569,28.589185829699996,17.254901960799998,12.9411764706,200
